epoch,dataset,model,method,policy,attn_only,lora_r,lora_alpha,lora_dropout,lr,lr_lora,lr_norm,weight_decay,clip_grad,trainable_params,avg_step_time_s,peak_mem_bytes,acc1,ece,grad_norm_lora_mean,grad_norm_norm_mean,update_norm_lora_mean,update_norm_norm_mean,cosine_ln_mean,cosine_ln_p90
8,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8231860957182277,8036849664,0.8544,0.05631003528833389,2.2375462310654775,0.3914041976178331,0.02836197361882244,0.010436860944277473,0.007267714148232092,0.026172826066613197
9,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8225000544887064,8036849664,0.8525,0.058741383254528046,2.043393075466156,0.3626342058580901,0.02542734718216317,0.009468822673495327,0.005926804199892406,0.02124844491481781
10,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.0,0.0,609024,0.8235172261972257,8036849664,0.8589,0.05829036235809326,1.4401062641824995,0.23689213820866176,0.02510896564594337,0.009086279863757747,0.00019555739466644204,0.011417602188885212

#new results
1,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.8256305007983351,8037466112,0.8476,0.06952325320243835,1.9240962607519967,0.31608522723295857,0.023127942479082515,0.008412383762853486,-0.01613946390959124,0.006159870885312557
2,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.7279263304932343,8037466112,0.8685,0.06728205358982087,1.4385603197983332,0.23535043453531607,0.01938413003725665,0.006855505252523082,0.004724542474529396,0.015117081813514233
3,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.7298479360692641,8037466112,0.8674,0.07465355964899063,2.081424355506897,0.3582653972719397,0.0249325478715556,0.009118903428316116,0.004528641623134415,0.029847193509340286
4,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.7287633169032729,8037466112,0.8707,0.07564117376804352,0.9623298815318516,0.18078853695520333,0.017981559437300478,0.006817473032112632,0.0025557536246196833,0.030300473794341087
5,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.7414735095275332,8037466112,0.8855,0.07143832432031631,1.4699199327400752,0.2707671437944685,0.014941826462745667,0.005599531145500285,-0.004000579710312498,0.0009542931220494211
6,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.7304150222817345,8037466112,0.8818,0.07626857570409774,0.9113038991178785,0.19403878665928329,0.010163733336542333,0.003756495242539261,-0.0052887043742278666,0.029588237404823303
7,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.7299548829607951,8037466112,0.8876,0.07702205890417099,0.6684276376451764,0.11874295618118984,0.00535228758651231,0.0019650638070223586,-0.00972186602302827,0.0027235555462539196
8,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.729214685347379,8037466112,0.8949,0.07399793397188187,0.2072398747716631,0.03746818642996784,0.002256070978806487,0.0008600070224409657,-0.005294838357561578,0.007443327456712723
9,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.7298270662117492,8037466112,0.8923,0.07445409672260285,0.13752125522920064,0.023683408042415977,0.0008556683481271778,0.0003214549454112005,-0.0006548302869002024,0.01561132725328207
10,cifar100,vit_small_patch16_224,hybrid_parallel,n.a.,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,647524,0.7293740562770678,8037466112,0.895,0.07380260734558106,0.2552201045410974,0.05267188829436366,0.00022731069891181375,9.102725354231162e-05,-0.012928491147855917,0.006540140137076378

1,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5661197440398623,6144569344,0.8768,0.06276813814640045,0.4623451630274455,0.16919810449083647,0.008301345321039358,0.00592482245216767,0.0,nan
2,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5681852715094681,6145093632,0.8843,0.06406112228631973,0.6160284479459127,0.23699711511532465,0.009793182524542013,0.006614526500925422,0.0,nan
3,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5688281339757583,6145093632,0.879,0.07061966447830201,0.7426794568697611,0.2675963019331296,0.010431107754508654,0.006992930391182502,0.0,nan
4,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5688045238289992,6145093632,0.8838,0.07152476892471313,0.5371662974357605,0.19639856865008673,0.011014862296481928,0.007082648032034437,0.0,nan
5,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.569484781426237,6145093632,0.8775,0.08282530047893524,0.7032305101553599,0.24450233578681946,0.011429178838928541,0.00764127370590965,0.0,nan
6,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5695294022865003,6145093632,0.8793,0.08432870614528656,0.7356200913588206,0.2860708584388097,0.010486476433773836,0.007266034449761112,0.0,nan
7,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5693958860529048,6145093632,0.8777,0.085258666908741,0.4902753035227458,0.2767614846428235,0.011119178806742033,0.008130278748770555,0.0,nan
8,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5692800005988392,6145093632,0.8755,0.0917996313393116,0.677544375260671,0.33647429943084717,0.012246330579121908,0.009543329322089752,0.0,nan
9,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5688375335215302,6145093632,0.8785,0.08978991360664368,0.7950187623500824,0.32484271625677746,0.011395402563114962,0.00774843789016207,0.0,nan
10,cifar100,vit_small_patch16_224,hybrid_layers,deep_lora,0,8,16.0,0.0,0.001,0.0005,0.001,0.05,0.0,247396,0.5693066736011554,6145093632,0.8741,0.09369987629652023,0.7153581778208414,0.28221500913302106,0.011872446164488792,0.007715721148997545,0.0,nan
